 format: day,hour,value location:60_127 Start : 20230101 
 1, 0000, 0.000000 
 1, 0001, 0.000000 
 1, 0002, 0.000000 
 1, 0003, 0.000000 
 1, 0004, 0.000000 
 1, 0005, 0.000000 
 1, 0006, 0.000000 
 1, 0007, 0.000000 
 1, 0008, 0.000000 
 1, 0009, 0.000000 
 1, 0010, 0.000000 
 1, 0011, 0.000000 
 1, 0012, 0.000000 
 1, 0013, 0.000000 
 1, 0014, 0.000000 
 1, 0015, 0.000000 
 1, 0016, 0.000000 
 1, 0017, 0.000000 
 1, 0018, 0.000000 
 1, 0019, 0.000000 
 1, 0020, 0.000000 
 1, 0021, 0.000000 
 1, 0022, 0.000000 
 1, 0023, 0.000000 
 2, 0000, 0.000000 
 2, 0001, 0.000000 
 2, 0002, 0.000000 
 2, 0003, 0.000000 
 2, 0004, 0.000000 
 2, 0005, 0.000000 
 2, 0006, 0.000000 
 2, 0007, 0.000000 
 2, 0008, 0.000000 
 2, 0009, 0.000000 
 2, 0010, 0.000000 
 2, 0011, 0.000000 
 2, 0012, 0.000000 
 2, 0013, 0.000000 
 2, 0014, 0.000000 
 2, 0015, 0.000000 
 2, 0016, 0.000000 
 2, 0017, 0.000000 
 2, 0018, 0.000000 
 2, 0019, 0.000000 
 2, 0020, 0.000000 
 2, 0021, 0.000000 
 2, 0022, 0.000000 
 2, 0023, 0.000000 
 3, 0000, 0.000000 
 3, 0001, 0.000000 
 3, 0002, 0.000000 
 3, 0003, 0.000000 
 3, 0004, 0.000000 
 3, 0005, 0.000000 
 3, 0006, 0.000000 
 3, 0007, 0.000000 
 3, 0008, 0.000000 
 3, 0009, 0.000000 
 3, 0010, 0.000000 
 3, 0011, 0.000000 
 3, 0012, 0.000000 
 3, 0013, 0.000000 
 3, 0014, 0.000000 
 3, 0015, 0.000000 
 3, 0016, 0.000000 
 3, 0017, 0.000000 
 3, 0018, 0.000000 
 3, 0019, 0.000000 
 3, 0020, 0.000000 
 3, 0021, 0.000000 
 3, 0022, 0.000000 
 3, 0023, 0.000000 
 4, 0000, 0.000000 
 4, 0001, 0.000000 
 4, 0002, 0.000000 
 4, 0003, 0.000000 
 4, 0004, 0.000000 
 4, 0005, 0.000000 
 4, 0006, 0.000000 
 4, 0007, 0.000000 
 4, 0008, 0.000000 
 4, 0009, 0.000000 
 4, 0010, 0.000000 
 4, 0011, 0.000000 
 4, 0012, 0.000000 
 4, 0013, 0.000000 
 4, 0014, 0.000000 
 4, 0015, 0.000000 
 4, 0016, 0.000000 
 4, 0017, 0.000000 
 4, 0018, 0.000000 
 4, 0019, 0.000000 
 4, 0020, 0.000000 
 4, 0021, 0.000000 
 4, 0022, 0.000000 
 4, 0023, 0.000000 
 5, 0000, 0.000000 
 5, 0001, 0.000000 
 5, 0002, 0.000000 
 5, 0003, 0.000000 
 5, 0004, 0.000000 
 5, 0005, 0.000000 
 5, 0006, 0.000000 
 5, 0007, 0.000000 
 5, 0008, 0.000000 
 5, 0009, 0.000000 
 5, 0010, 0.000000 
 5, 0011, 0.000000 
 5, 0012, 0.000000 
 5, 0013, 0.000000 
 5, 0014, 0.000000 
 5, 0015, 0.000000 
 5, 0016, 0.000000 
 5, 0017, 0.000000 
 5, 0018, 0.000000 
 5, 0019, 0.000000 
 5, 0020, 0.000000 
 5, 0021, 0.000000 
 5, 0022, 0.000000 
 5, 0023, 0.000000 
 6, 0000, 0.000000 
 6, 0001, 0.000000 
 6, 0002, 0.000000 
 6, 0003, 0.000000 
 6, 0004, 0.000000 
 6, 0005, 0.000000 
 6, 0006, 0.000000 
 6, 0007, 0.000000 
 6, 0008, 0.000000 
 6, 0009, 0.000000 
 6, 0010, 0.000000 
 6, 0011, 1.000000 
 6, 0012, 0.400000 
 6, 0013, 2.400000 
 6, 0014, 0.100000 
 6, 0015, 0.000000 
 6, 0016, 0.000000 
 6, 0017, 0.000000 
 6, 0018, 0.100000 
 6, 0019, 0.000000 
 6, 0020, 0.000000 
 6, 0021, 0.000000 
 6, 0022, 0.000000 
 6, 0023, 0.000000 
 7, 0000, 0.000000 
 7, 0001, 0.000000 
 7, 0002, 0.000000 
 7, 0003, 0.000000 
 7, 0004, 0.000000 
 7, 0005, 0.000000 
 7, 0006, 0.000000 
